tick,pubid,age,xcor,ycor,borough,OAID,spend,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor
0,new_3035,0,73,6,Havering,E00011695,42840,2,4.110187199602814,0,0,3955,0,73,6
39,new_3036,39,-5,-21,Lambeth,E00015554,111017.07,27,4.703310073609518,0,1161345.6489,5710.000000000001,1,-5,-21
0,new_3037,0,-31,62,Barnet,E00001234,139261,11,3.890185888001618,0,0,5685,0,-31,62
1,new_3038,1,-94,2,Hillingdon,E00012571,117156,9,4.947971277796184,0,497712.5312,4860,0,-94,2
7,new_3039,7,-80,4,Hillingdon,E00184433,126012.08,19,2.614312203326879,0,418601.0826,3985,0,-80,4
39,new_3040,39,-10,32,Islington,E00009982,103420.86,24,4.851211506648046,0,1834654.264,7490,1,-10,32
0,new_3041,0,-52,-21,Richmond upon Thames,E00019205,146275,12,4.204226547973722,0,0,8835.000000000002,0,-52,-21
39,new_3042,39,50,31,Redbridge,E00018678,60002,13,2.5778239347468963,0,593409.9139,4990.000000000001,1,50,31
0,new_3043,0,64,11,Havering,E00011695,42840,9,3.397003970610511,0,0,5055,0,64,11
39,new_3044,39,40,26,Redbridge,E00018562,53810.92,17,3.858625782743896,0,564532.24,3500,1,40,26
39,new_3045,39,-14,45,Haringey,E00009864,84263,12,3.093885512822767,0,781488.3945,6145.000000000001,1,-14,45
39,new_3046,39,1,24,Islington,E00013849,96743.48,32,3.0450908610701033,0,673886.1203,6180,1,1,24
0,new_3047,0,9,-10,Southwark,E00020140,116665,32,3.378312982420871,0,0,5855,0,9,-10
0,new_3048,0,-60,-1,Hounslow,E00013303,183490,14,4.323383486766975,0,0,5770,0,-60,-1
39,new_3049,39,51,1,Bexley,E00002050,62416,11,3.4595245380570825,0,541858.9257,3570,1,51,1
0,new_3050,0,-47,-14,Richmond upon Thames,E00019493,161220,10,3.289936922123143,0,0,10000,0,-47,-14
39,new_3051,39,-55,-19,Richmond upon Thames,E00019200,111041,9,4.9219627368764245,0,1038821.781,6105.000000000001,1,-55,-19
0,new_3052,0,78,47,Havering,E00011401,38539,7,4.793997394328613,0,0,3850,0,78,47
39,new_3053,39,35,28,Redbridge,E00019019,66468,13,3.3451107953488375,0,520718.2401,3630,1,35,28
39,new_3054,39,0,-19,Southwark,E00019871,153565,20,4.997910457325059,0,1140738.7233,9235,1,0,-19
0,new_3055,0,23,-4,Greenwich,E00008176,103706,9,3.544618429033643,0,0,8270,0,23,-4
3,new_3056,3,43,-5,Greenwich,E00008392,74205,15,3.879866440638681,0,418582.9677,4159.999999999999,0,43,-5
1,new_3057,1,48,15,Barking and Dagenham,E00185706,28382,6,3.5961876033913045,0,369724.3168,3500,0,48,15
39,new_3058,39,-21,62,Barnet,E00000825,75510,14,3.97451437771231,0,687132.3307,5715,1,-21,62
0,new_3059,0,47,42,Redbridge,E00018353,45212,8,3.933736328363798,0,0,4000,0,47,42
39,new_3060,39,-51,-14,Richmond upon Thames,E00019195,183594.1168831169,8,3.247165765549621,0,1552008.8689,10000,1,-51,-14
0,new_3061,0,71,30,Havering,E00011801,34994,14,3.0652724831250047,0,0,5545,0,71,30
0,new_3062,0,58,48,Havering,E00011496,38951,4,4.3170185215720425,0,0,4500.000000000001,0,58,48
39,new_3063,39,-3,-10,Lambeth,E00015376,119957,34,3.76822847148507,0,998658.9174,6430.000000000002,1,-3,-10
0,new_3064,0,-27,65,Barnet,E00001215,92641,10,3.7966605670023976,0,0,6200.000000000002,0,-27,65
39,new_3065,39,10,59,Enfield,E00171181,34666,6,3.266655837445384,0,618439.0983,3850,1,10,59
0,new_3066,0,70,34,Havering,E00011329,59943.90000000001,11,2.551708784376314,0,0,4790.000000000001,0,70,34
39,new_3067,39,-4,-38,Croydon,E00005902,112731,16,2.6091161888525525,0,1185703.9351,3815,1,-4,-38
0,new_3068,0,-27,52,Barnet,E00001380,231216,6,2.5081081770309366,0,0,9080.000000000002,0,-27,52
39,new_3069,39,8,-16,Lewisham,E00016489,104083,16,4.383384202910182,0,1068333.7961,6639.999999999998,1,8,-16
2,new_3070,2,55,-10,Bexley,E00001767,56459,11,2.74117921373892,0,561519.1621,4470.000000000001,0,55,-10
39,new_3071,39,14,13,Tower Hamlets,E00021484,110769,34,4.2366864850553405,0,1257287.2985,6480.000000000001,1,14,13
39,new_3072,39,-76,32,Hillingdon,E00012064,208745,17,4.986343814945302,0,986161.1257,6025.000000000001,1,-76,32
0,new_3073,0,-96,43,Hillingdon,E00012149,143670,11,4.802658007834065,0,0,5505,0,-96,43
39,new_3074,39,-11,9,Westminster,E00024134,295349.51,11,4.472420525408978,0,4922715.2036,13380,1,-11,9
0,new_3075,0,1,-18,Southwark,E00020503,342256,16,3.6502562132528342,0,0,10090,0,1,-18
0,new_3076,0,84,26,Havering,E00011910,79625,5,3.466164933893757,0,0,6110,0,84,26
0,new_3077,0,61,13,Havering,E00176932,57311,5,3.2236109922326146,0,0,4000.000000000001,0,61,13
39,new_3078,39,-29,28,Barnet,E00000712,88022,20,3.612014587085271,0,1124479.6702,6355,1,-29,28
39,new_3079,39,-50,-24,Kingston upon Thames,E00015142,205047,11,4.900374605695832,0,1302081.662,7900.000000000001,1,-50,-24
39,new_3080,39,-39,15,Ealing,E00006190,173032,11,4.393833669662601,0,690584.8081,4690,1,-39,15
0,new_3081,0,15,-49,Croydon,E00005297,185971,13,2.968348978440728,0,0,4435,0,15,-49
39,new_3082,39,52,-9,Bexley,E00001936,67616.11,7,4.7551291615521585,0,847657.0051,4965,1,52,-9
0,new_3083,0,68,26,Havering,E00011784,49026.869999999995,15,3.8778212436088895,0,0,4440.000000000001,0,68,26
39,new_3084,39,-65,8,Ealing,E00006065,82223,10,4.986682373181702,0,854280.7812,4629.999999999999,1,-65,8
39,new_3085,39,-40,-11,Richmond upon Thames,E00019124,201362,15,3.0227617797603306,0,1035203.853,6640,1,-40,-11
0,new_3086,0,35,-56,Bromley,E00003650,110204,6,3.4997507921221462,0,0,5574.999999999999,0,35,-56
0,new_3087,0,22,39,Waltham Forest,E00022471,45885,14,3.980565821218507,0,0,5499.999999999999,0,22,39
1,new_3088,1,-3,42,Haringey,E00010562,39138.66,15,3.885655347466974,0,515073.3831,5200.000000000001,0,-3,42
0,new_3089,0,37,-62,Bromley,E00003650,110204,12,4.236139041542776,0,0,6320.000000000001,0,37,-62
39,new_3090,39,-18,-25,Wandsworth,E00022787,220553.83,32,3.433841661964457,0,1067697.6516,7420,1,-18,-25
39,new_3091,39,-70,-7,Hounslow,E00013031,114762,23,2.860783417389476,0,726975.5191,4134.999999999999,1,-70,-7
1,new_3092,1,-18,-16,Wandsworth,E00022907,219767,25,3.3225256259438134,0,939211.3073,9145,0,-18,-16
0,new_3093,0,13,-49,Croydon,E00005298,207403,12,4.414899690930771,0,0,4195,0,13,-49
39,new_3094,39,43,44,Redbridge,E00018625,35537,7,2.583195324877105,0,686504.3925,5264.999999999999,1,43,44
2,new_3095,2,26,-41,Bromley,E00003753,125939,9,3.755226040078397,0,682247.4464,6000.000000000001,0,26,-41
39,new_3096,39,-20,21,Camden,E00004156,382748.98,32,4.7973657454734955,0,5506960.137,11620.000000000002,1,-20,21
0,new_3097,0,-52,-11,Richmond upon Thames,E00019425,134415,13,2.5378693782749613,0,0,11395,0,-52,-11
0,new_3098,0,-38,59,Barnet,E00001254,120340,11,4.812539126879191,0,0,8565,0,-38,59
0,new_3099,0,27,-67,Bromley,E00003181,150048,6,4.969049518769631,0,0,4300,0,27,-67
39,new_3100,39,1,-63,Croydon,E00005344,191748,10,3.8197492185498865,0,923523.3353,5530,1,1,-63
0,new_3101,0,70,36,Havering,E00011886,76045,14,2.814062838444909,0,0,5615,0,70,36
