tick,pubid,age,xcor,ycor,borough,OAID.x,spend.x,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor,patchrent,OAID.y,patch_borough,spend.y,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
39,ChIJ--uMBmgDdkgRLKLZeFSj564,40,1.6146,2.4057,Southwark,E00020027,161910,32,4.7,402,1411705.6272,7384.999999999998,1,2,2,7384.999999999998,E00020027,Southwark,161910,33,319,38971173,1,0,2
39,ChIJ-1LEVxIXdkgR9WIZue6vaM0,40,-26.6573,42.3634,Barnet,E00000988,129793,10,4.5,509,1396313.7852,7375,1,-27,42,7375,E00000988,Barnet,129793,9,107,13800457,2,0,2
39,ChIJ-57LM94FdkgRkQbpuqN65_M,40,-17.5184,-21.3361,Wandsworth,E00023257,278310.43000000005,35,4.3,1053,1490477.2409,6670,1,-18,-21,6670,E00023257,Wandsworth,278310.43000000005,35,214,41435713,1,0,1
39,ChIJ-6pThJobdkgRnZ2393tj-KE,40,-5.7232,29.9581,Islington,E00014016,97025.20000000001,33,4.400000000000001,2094,891846.8744,7285,1,-6,30,7285,E00014016,Islington,97025.2,33,294,29265680,2,0,2
39,ChIJ-8RZ5SYDdkgReRoovWRZkLs,40,8.62,5.1972,Southwark,E00020300,131005.21276595745,32,4.400000000000001,521,1001683.6694,7850,1,9,5,7850,E00020300,Southwark,131005.21276595745,32,243,37083450,1,0,1
39,ChIJ-9-PjLUadkgRGBhW2fraf9Y,40,-18.7924,11.1475,Westminster,E00023494,388580.30000000005,40,4.5,1164,2199041.8443,10150,1,-19,11,10150,E00023494,Westminster,388580.3000000001,43,264,87518271,4,1,3
39,ChIJ-9VzIsoLdkgRybr4LiVSgYg,40,-50.7999,-37.5804,Kingston upon Thames,E00015067,338165,19,4.1,1702,942422.4407,6400,1,-51,-38,6400,E00015067,Kingston upon Thames,338165,19,119,22028044,2,0,2
39,ChIJ-9e394MbdkgRWispWlHr8ek,40,-3.6461,27.9391,Islington,E00013664,90792.66,37,4.3,208,867575.7115,8109.999999999998,1,-4,28,8109.999999999998,E00013664,Islington,90792.66,38,296,33932429,2,0,2
1,ChIJ-QC2MLcCdkgRnX8xBSb4JO0,2,16.3714,7.2492,Tower Hamlets,E00167158,342269,33,3.8,1363,878040.5071,8090,0,16,7,8090,E00167158,Tower Hamlets,342269,31,257,40104064,3,2,1
0,ChIJ-TYY0bcYdkgR1zARL0lSwPU,1,-5.6391,66.6293,Enfield,E00007326,76102,10,4.2,1163,638292.8699,6170,0,-6,67,6170,E00007326,Enfield,76102,4,46,3292272,1,1,0
39,ChIJ-VlPJGZvdkgRlTOXQLXy2YE,40,-92.3998,6.1932,Hillingdon,E00184444,153436.82000000004,15,4.6,297,858848.6699,5260,1,-92,6,5260,E00184444,Hillingdon,153436.82000000004,15,87,10046709,2,0,2
0,ChIJ-XkZ1Kev2EcRn9zezYRSqMI,1,55.2388,-0.2846,Bexley,E00001654,57657,13,4.5,178,602417.0766,4295,0,55,-0,4295,E00001654,Bexley,57657,11,105,5356914,2,2,0
1,ChIJ-YNjRZcedkgR9TKtDmJEwzg,2,4.0586,46.8653,Enfield,E00007747,32601.63,18,4.5,88,395871.417,3845,0,4,47,3845,E00007747,Enfield,32601.63,12,167,6274290,4,4,0
39,ChIJ-Zm3-zQDdkgRggM_BPI-CtQ,40,4.6799,9.4459,Tower Hamlets,E00021752,160272.7,25,4.5,896,2816184.0565,8570,1,5,9,8570,E00021752,Tower Hamlets,160272.7,27,246,42445754,2,1,1
39,ChIJ-Zu-9c8CdkgR9MCdIDUEv6Q,40,12.6248,6.7577,Southwark,E00020440,227088.99999999997,35,4.5,902,1399252.0021,8984.999999999998,1,13,7,8984.999999999998,E00020440,Southwark,227088.99999999997,35,257,40339634,1,0,1
39,ChIJ-_5lT-oLdkgRxpEwptxhqbM,40,-50.2096,-30.6912,Kingston upon Thames,E00184371,240348,30,4,3903,525332.6897,5045.000000000001,1,-50,-31,5045.000000000001,E00184371,Kingston upon Thames,240348,31,134,22820579,3,0,3
0,ChIJ-bCLyGQXdkgRxYwkt96VgQY,1,-27.5872,53.5658,Barnet,E00001370,208920,5,4.3,3017,1527753.9671,7395.000000000001,0,-28,54,7395.000000000001,E00001370,Barnet,208920,3,25,3937985,1,1,0
39,ChIJ-bvJK6cadkgRoi8-VY3Dijw,40,-23.7824,15.485,Westminster,E00023805,246888.81000000008,38,4.400000000000001,1296,3382054.0208,10550,1,-24,15,10550,E00023805,Westminster,246888.81000000008,38,360,85187647,1,0,1
39,ChIJ-cCTE8kPdkgRri6zR_jHTEY,40,-33.5155,2.563,Hammersmith and Fulham,E00009472,230509.54000000007,62,4.3,583,1300777.6509,9960.000000000002,1,-34,3,9960.000000000002,E00009472,Hammersmith and Fulham,230509.54000000007,63,287,61926264,1,0,1
39,ChIJ-cK4uL9sdkgRBVWiAlvQKP4,40,-75.3915,32.8722,Hillingdon,E00012121,150675,12,4.2,1516,1231376.3555,6000.000000000001,1,-75,33,6000.000000000001,E00012121,Hillingdon,150675,13,93,16448484,1,0,2
39,ChIJ-dDlrC9zdkgRrwW57PIP1NA,40,-70.8825,-11.0429,Hounslow,E00013225,135995,19,4,1181,916337.4374,5005,1,-71,-11,5005,E00013225,Hounslow,135995,19,107,12511373,1,0,1
39,ChIJ-wc5tTAZdkgRih-65IGoEbY,40,-5.4784,52.381,Enfield,E00007774,71598,8,4.6,162,876147.7288,5745,1,-5,52,5745,E00007774,Enfield,71598,7,114,7794504,1,0,1
0,ChIJ-x-j68YfdkgRRe8AnIJ1Dk0,1,-2.139,63.2873,Enfield,E00007211,71087,19,4.3,330,709563.9777,5650.000000000001,0,-2,63,5650.000000000001,E00007211,Enfield,71087,8,111,7114980,1,1,0
39,ChIJ-xttPGEEdkgR2m7_xfrdRYM,40,-3.4033,-9.1185,Lambeth,E00015485,126005.80000000002,39,4.9,301,1121134.5154,5830.000000000001,1,-3,-9,5830.000000000001,E00015485,Lambeth,126005.80000000002,40,246,30289185,1,0,1
39,ChIJ-yvXmbQadkgRPnEMI14imuA,40,-19.8998,10.2216,Westminster,E00175215,294592.87,45,4.5,1887,1617235.7173,10015,1,-20,10,10015,E00175215,Westminster,294592.87,46,273,87798306,1,0,1
39,ChIJ-zmYeWqr2EcRvGbBr116bGk,40,26.7223,-27.7433,Bromley,E00004033,96619.79000000001,18,4.3,292,725174.8433,5990,1,27,-28,5990,E00004033,Bromley,96619.79,17,94,9346926,1,0,1
39,ChIJ0-VfEUqn2EcR1cYn_QWHFLY,40,25.1836,41.4176,Redbridge,E00175177,57216.18000000001,10,4.2,1010,672316.4468,5860,1,25,41,5860,E00175177,Redbridge,57216.18000000001,11,113,7219657,2,0,2
39,ChIJ00YfsnsNdkgRmHxJqXmpkLU,40,-59.8691,5.4242,Ealing,E00006226,136425.66,16,4.2,157,641245.3882,5990.000000000001,1,-60,5,5990.000000000001,E00006226,Ealing,136425.66,15,103,13280220,2,0,2
39,ChIJ01J5pjMNdkgRYX6s9nohkMQ,40,-68.2389,-2.6094,Hounslow,E00179269,133120.37,11,4.5,465,1369189.7407,5180,1,-68,-3,5180,E00179269,Hounslow,133120.37,12,98,11873421,1,0,1
39,ChIJ01NehtUbdkgRdjnC7wr40sw,40,-13.1066,41.9795,Haringey,E00009844,100414,9,4.3,902,988871.3077,7840,1,-13,42,7840,E00009844,Haringey,100414,11,131,10570029,1,0,1
39,ChIJ02cdBcsPdkgRwa3puG6p4Mk,40,-34.7537,2.3678,Hammersmith and Fulham,E00009648,520208,62,4.6,630,1252995.5546,8755.000000000002,1,-35,2,8755.000000000002,E00009648,Hammersmith and Fulham,520208,57,270,59203685,3,0,3
0,ChIJ02jiYkW72EcRoqI9HwKa1Js,1,67.696,39.5118,Havering,E00011656,73631,10,4.5,507,537616.224,5470,0,68,40,5470,E00011656,Havering,73631,8,86,4736951,3,3,0
39,ChIJ044eqskDdkgRykfbESyB5oA,40,11.364,-20.6497,Lewisham,E00016767,72426.31000000001,23,4.2,80,750752.3594,5750.000000000001,1,11,-21,5750.000000000001,E00016767,Lewisham,72426.31000000001,23,182,14413284,1,1,1
