tick,pubid,age,xcor,ycor,borough,OAID.x,spend.x,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor,patchrent,OAID.y,patch_borough,spend.y,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
39,ChIJ--uMBmgDdkgRLKLZeFSj564,40,1.6146,2.4057,Southwark,E00020027,161910,32,4.7,402,1797414.28,7384.999999999998,1,2,2,7384.999999999998,E00020027,Southwark,161910,33,319,38971173,1,0,1
39,ChIJ-1LEVxIXdkgR9WIZue6vaM0,40,-26.6573,42.3634,Barnet,E00000988,129793,9,4.5,509,1526088.3812,7375,1,-27,42,7375,E00000988,Barnet,129793,9,107,13800457,2,0,2
39,ChIJ-57LM94FdkgRkQbpuqN65_M,40,-17.5184,-21.3361,Wandsworth,E00023257,278310.43000000005,29,4.3,1053,1800015.6152,6670,1,-18,-21,6670,E00023257,Wandsworth,278310.43000000005,28,214,41435713,1,0,1
39,ChIJ-6pThJobdkgRnZ2393tj-KE,40,-5.7232,29.9581,Islington,E00014016,97025.20000000001,32,4.400000000000001,2094,935411.4294,7285,1,-6,30,7285,E00014016,Islington,97025.20000000001,31,294,29265680,2,0,2
39,ChIJ-8RZ5SYDdkgReRoovWRZkLs,40,8.62,5.1972,Southwark,E00020300,131005.21276595745,32,4.400000000000001,521,1088683.8789,7850,1,9,5,7850,E00020300,Southwark,131005.21276595745,30,243,37083450,1,0,1
39,ChIJ-9-PjLUadkgRGBhW2fraf9Y,40,-18.7924,11.1475,Westminster,E00023494,388580.30000000005,36,4.5,1164,2449643.023,10150,1,-19,11,10150,E00023494,Westminster,388580.30000000005,38,264,87518271,4,1,3
39,ChIJ-9VzIsoLdkgRybr4LiVSgYg,40,-50.7999,-37.5804,Kingston upon Thames,E00015067,338165,20,4.1,1702,1068505.5698,6400,1,-51,-38,6400,E00015067,Kingston upon Thames,338165,20,119,22028044,2,0,2
0,ChIJ-9e394MbdkgRWispWlHr8ek,1,-3.6461,27.9391,Islington,E00013664,90792.66,42,4.3,208,793849.673,8109.999999999998,0,-4,28,8109.999999999998,E00013664,Islington,90792.66,35,296,33932429,2,2,0
0,ChIJ-QC2MLcCdkgRnX8xBSb4JO0,1,16.3714,7.2492,Tower Hamlets,E00167158,342269,34,3.8,1363,972716.6104,8090,0,16,7,8090,E00167158,Tower Hamlets,342269,34,257,40104064,3,2,1
5,ChIJ-TYY0bcYdkgR1zARL0lSwPU,6,-5.6391,66.6293,Enfield,E00007326,76102,6,4.2,1163,667471.6207,6170,0,-6,67,6170,E00007326,Enfield,76102,4,46,3292272,1,1,0
39,ChIJ-VlPJGZvdkgRlTOXQLXy2YE,40,-92.3998,6.1932,Hillingdon,E00184444,153436.82000000004,10,4.6,297,1143089.3361,5260,1,-92,6,5260,E00184444,Hillingdon,153436.82000000004,12,87,10046709,2,0,2
39,ChIJ-XkZ1Kev2EcRn9zezYRSqMI,40,55.2388,-0.2846,Bexley,E00001654,57657,10,4.5,178,464538.5857,4295,1,55,-0,4295,E00001654,Bexley,57657,10,105,5356914,2,0,2
39,ChIJ-YNjRZcedkgR9TKtDmJEwzg,40,4.0586,46.8653,Enfield,E00007747,32601.63,13,4.5,88,443815.566,3845,1,4,47,3845,E00007747,Enfield,32601.63,13,167,6274290,4,1,3
39,ChIJ-Zm3-zQDdkgRggM_BPI-CtQ,40,4.6799,9.4459,Tower Hamlets,E00021752,160272.7,28,4.5,896,2902434.6311,8570,1,5,9,8570,E00021752,Tower Hamlets,160272.7,28,246,42445754,2,1,1
39,ChIJ-Zu-9c8CdkgR9MCdIDUEv6Q,40,12.6248,6.7577,Southwark,E00020440,227088.99999999997,37,4.5,902,1416774.3222,8984.999999999998,1,13,7,8984.999999999998,E00020440,Southwark,227088.99999999997,36,257,40339634,1,0,1
39,ChIJ-_5lT-oLdkgRxpEwptxhqbM,40,-50.2096,-30.6912,Kingston upon Thames,E00184371,240348,26,4,3903,602351.8326,5045.000000000001,1,-50,-31,5045.000000000001,E00184371,Kingston upon Thames,240348,26,134,22820579,3,1,3
0,ChIJ-bCLyGQXdkgRxYwkt96VgQY,1,-27.5872,53.5658,Barnet,E00001370,208920,8,4.3,3017,1527753.9671,7395.000000000001,0,-28,54,7395.000000000001,E00001370,Barnet,208920,2,25,3937985,1,1,0
39,ChIJ-bvJK6cadkgRoi8-VY3Dijw,40,-23.7824,15.485,Westminster,E00023805,246888.81000000008,37,4.400000000000001,1296,3071884.7536,10550,1,-24,15,10550,E00023805,Westminster,246888.81000000008,36,360,85187647,1,0,2
