tick,pubid,age,xcor,ycor,borough,OAID.x,spend.x,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor,patchrent,OAID.y,patch_borough,spend.y,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
39,ChIJI4X1gyIadkgRh36rgIIhkvc,40,-19.3271,38.7178,Barnet,E00000898,113975.45,11,4.6,267,1309435.5815,7139.999999999998,1,-19,39,7139.999999999998,E00000898,Barnet,113975.45,12,120,12452123,2,0,2
39,ChIJI4paXPgEdkgR88La11U-5N0,40,-10.321,-5.6033,Lambeth,E00015585,125670,39,4.6,265,1247316.5028,5909.999999999999,1,-10,-6,5909.999999999999,E00015585,Lambeth,125670,39,306,45313279,1,0,1
0,ChIJI4pqai0ZdkgR-Ps2GxkdavU,1,-3.428,54.7475,Enfield,E00007757,65952,19,4.2,170,636737.026,6245.000000000002,0,-3,55,6245.000000000002,E00007757,Enfield,65952,8,100,7295494,1,1,1
39,ChIJI5FS6jgDdkgRVO5hnQY2SEg,40,18.098,8.5838,Tower Hamlets,E00021236,90497.54000000001,25,4.3,106,1114973.1068,5110.000000000001,1,18,9,5110.000000000001,E00021236,Tower Hamlets,90497.54000000001,26,237,29576286,2,0,2
39,ChIJI6vuMfkcdkgRwiPe_q4geZ4,40,7.5992,25.0085,Hackney,E00008956,115762.29,23,4.6,367,1154023.8313,6939.999999999998,1,8,25,6939.999999999998,E00008956,Hackney,115762.29,23,274,22817219,1,0,1
39,ChIJI7dfTdcPdkgRjlTAGlXJvoY,40,-31.8796,6.0934,Hammersmith and Fulham,E00167282,150927,46,4.3,1817,845581.6069,7890,1,-32,6,7890,E00167282,Hammersmith and Fulham,150927,46,309,57511989,1,0,1
39,ChIJI9zSbu0adkgRnSbGzECcwTk,40,-18.5301,21.4393,Camden,E00004152,366245.47,31,4.400000000000001,1375,4744741.6729,8950.000000000002,1,-19,21,8950.000000000002,E00004152,Camden,366245.47,30,284,101220950,1,0,1
39,ChIJIR2_lMyo2EcRT5RwizP3zQY,40,42.9296,0.789,Greenwich,E00008333,74925.23999999999,9,4.5,178,1715443.7319,3584.999999999999,1,43,1,3584.999999999999,E00008333,Greenwich,74925.23999999999,9,165,10606402,1,0,1
39,ChIJIRLTyEQZdkgR9ivq5XjSkfM,40,-6.5504,46.5565,Enfield,E00006937,62922.450000000004,12,4.3,268,671236.6106,5785,1,-7,47,5785,E00006937,Enfield,62922.450000000004,11,156,9078279,1,1,1
39,ChIJISCH0_QadkgROTmBng-8pIY,40,-19.039,24.7018,Camden,E00004425,384842.06000000006,30,3.8,31,1632323.6812,14750,1,-19,25,14750,E00004425,Camden,384842.06000000006,31,205,75663073,4,0,4
39,ChIJIUfpLEmu2EcRF4IgSXLjiDM,40,59.0367,-7.1573,Bexley,E00001749,66222,11,4.3,637,457170.2353,3860,1,59,-7,3860,E00001749,Bexley,66222,11,106,6035983,1,0,1
39,ChIJIWwgCwsGdkgR5JF2snIspN4,40,-18.3571,-24.0032,Wandsworth,E00022808,238469,29,4.3,854,1014733.0762,6355,1,-18,-24,6355,E00022808,Wandsworth,238469,31,219,36779857,2,0,2
1,ChIJIXgo7DMHdkgRV9pwA7mZGsc,2,-1.447,-43.8271,Croydon,E00181005,136162,34,4.1,3052,591786.2312,5130,0,-1,-44,5130,E00181005,Croydon,136162,32,200,20698062,1,1,0
39,ChIJIZ4Jof8FdkgR9-Ev1s1__yw,40,-22.967,-21.6807,Wandsworth,E00022597,138315,28,4.400000000000001,261,905161.8286,6590.000000000001,1,-23,-22,6590.000000000001,E00022597,Wandsworth,138315,28,168,27098317,1,0,1
39,ChIJIZpb-l8DdkgRLbjVElurUv0,40,-1.3689,2.3792,Southwark,E00019836,114430.48999999999,26,4.400000000000001,270,1961693.7276,6855,1,-1,2,6855,E00019836,Southwark,114430.48999999999,26,336,39545132,1,0,1
39,ChIJIZsWgToDdkgRkaQl8KFL7Oc,40,6.1253,6.2331,Tower Hamlets,E00021606,331860.4210526316,31,4.3,707,1569721.7949,9690,1,6,6,9690,E00021606,Tower Hamlets,331860.4210526316,31,275,43651352,1,0,1
39,ChIJIaMV9NIbdkgRh5o86ae-l9g,40,-14.5214,38.5866,Haringey,E00010007,86112.99,8,4.6,3993,1543948.4912,9160,1,-15,39,9160,E00010007,Haringey,86112.99,8,129,12067534,2,0,2
