pxcor,pycor,patchrent,OAID,patch_borough,spend,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
-14,48,6305,E00007588,Enfield,95706.70000000001,10,106,9264118,0,0,0
6,55,4225.000000000001,E00007350,Enfield,49876,14,161,7263165,0,0,0
-4,16,9670,E00174761,Islington,167154.13999999996,14,351,48634614,0,0,0
-23,65,6485.000000000001,E00001216,Barnet,95537,4,49,5238055,0,0,0
19,-11,5305.000000000001,E00016645,Lewisham,91277.09000000001,16,200,16943324,0,0,0
17,20,5615.000000000001,E00182370,Newham,51884,21,179,18182782,0,0,0
64,9,5065,E00011695,Havering,42840,0,3,176141,0,0,0
-95,36,5080,E00012165,Hillingdon,122492,0,10,1319933,0,0,0
-12,33,9430,E00009974,Haringey,73540,14,206,20419968,0,0,0
27,-29,5830.000000000001,E00004001,Bromley,146214,14,99,10376731,2,0,2
-21,69,6435,E00007050,Enfield,116690,0,7,849895,0,0,0
-29,-2,9510.000000000002,E00009546,Hammersmith and Fulham,199481.98999999993,48,330,77553237,0,0,0
-9,33,7255,E00009976,Haringey,63151.859999999986,21,245,21297726,0,0,0
65,-7,3509.999999999999,E00002134,Bexley,45594,7,99,4564519,0,0,0
70,45,4150.000000000001,E00011568,Havering,28019,6,79,2591619,0,0,0
22,-17,4940,E00016278,Lewisham,72838,11,163,13917917,0,0,0
1,-6,6349.999999999998,E00019720,Southwark,155074.34,36,257,29309154,0,0,0
12,-7,5760,E00016883,Lewisham,86365,25,226,17885904,0,0,0
23,-10,8200,E00016185,Lewisham,86937.76999999999,15,139,13530137,0,0,0
75,23,5515,E00011924,Havering,58868,1,40,2220334,0,0,0
-36,-31,6095.000000000001,E00017433,Merton,157510,11,87,14101781,0,0,0
-70,47,5870,E00010776,Harrow,162958,5,27,4490467,0,0,0
1,-31,5800,E00005720,Croydon,113472,23,168,16337232,0,0,0
21,-10,6720,E00016641,Lewisham,110002.67,15,172,15535624,0,0,0
54,46,4135,E00185769,Redbridge,57332,1,23,893668,0,0,0
6,-56,4065,E00005583,Croydon,129547,15,49,7090501,0,0,0
68,20,3895,E00011826,Havering,43695,5,73,3066651,0,0,0
35,-49,5710,E00003679,Bromley,108641,2,18,2132135,0,1,0
-41,0,9520.000000000002,E00013353,Hounslow,229926,27,176,32538134,2,1,1
-34,36,5865.000000000001,E00001174,Barnet,144719,12,125,13183662,0,0,0
-85,45,6200,E00012317,Hillingdon,386287,8,26,8458131,0,0,0
74,20,5500,E00011706,Havering,43860,0,21,1035577,0,0,0
37,5,3650.000000000001,E00175029,Newham,29979,11,121,10377740,0,0,0
20,-44,5500,E00004098,Bromley,140644,7,68,7653718,0,0,0
29,42,5470,E00018892,Redbridge,64059,8,116,7342101,0,0,0
24,4,6480,E00182091,Greenwich,48761.468354430384,6,122,8511393,0,2,0
-34,-34,6120,E00017568,Merton,124310,14,103,14074680,0,0,0
-23,68,7330,E00007053,Enfield,123692,0,11,1342091,0,1,0
-50,4,6835,E00006140,Ealing,118492.41,18,141,20201237,0,0,0
6,-65,4955,E00005484,Croydon,152056.73333333334,8,20,9822337,0,0,0
-42,-2,9255,E00012836,Hounslow,273217,23,136,25264829,0,0,0
-14,-62,4110.000000000001,E00020667,Sutton,211463,5,31,5784614,1,0,1
-40,-35,5860,E00014745,Kingston upon Thames,157925.53,15,99,16784307,0,0,1
-4,-49,4489.999999999999,E00005837,Croydon,81443,23,126,13692776,0,0,0
-85,19,5140,E00012215,Hillingdon,158664,8,60,9977020,0,0,0
20,5,7930,NaN,NaN,NaN,18,170,27751523,0,0,0
-40,31,4745,E00003002,Brent,52000,8,104,9381892,0,0,0
61,41,4925.000000000001,E00011663,Havering,58942,9,100,5011541,0,0,0
43,-43,6130,E00003666,Bromley,83986,12,81,9054824,0,0,0
-58,21,6000,E00006539,Ealing,104504,12,86,9776654,0,0,0
22,-10,7480,E00016188,Lewisham,64345,14,158,14678283,1,0,1
-17,-38,4940,E00017075,Merton,93870,8,86,6811652,0,0,0
-66,-15,6000,E00019661,Richmond upon Thames,106890,19,120,14943419,0,0,0
-5,-26,5100.000000000001,E00005419,Croydon,171700,10,150,18503678,0,0,0
-34,-29,8090.000000000001,E00017416,Merton,168710,8,91,13808405,0,0,1
74,23,5590,E00011924,Havering,58868,2,46,2404321,0,0,0
-25,-25,8375,E00017589,Merton,119697,23,162,21571619,0,0,0
-73,22,5000,E00012438,Hillingdon,184156,7,63,7845194,0,0,0
-69,-1,4370,E00013081,Hounslow,111380.32,17,106,11749477,0,0,0
10,58,4080,E00171181,Enfield,34666,9,97,4216204,0,1,0
-77,-8,4275.000000000001,E00012860,Hounslow,125101,6,45,6062122,0,0,1
