pxcor,pycor,patchrent,OAID,patch_borough,spend,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
47,-54,5610,E00003308,Bromley,103169,2,17,1946236,0,0,0
24,-18,5045.000000000001,E00016942,Lewisham,74285.85999999999,10,146,12245385,0,0,0
4,65,5590.000000000001,E00007526,Enfield,46698,10,119,5547194,0,0,0
45,-26,5180,E00003353,Bromley,113644,3,56,3828272,0,0,0
33,-5,4079.999999999998,E00182101,Greenwich,109734,14,109,8542145,0,0,0
5,-24,5615,E00003637,Bromley,80358,20,153,14682272,0,0,0
-86,36,6500,E00012624,Hillingdon,195076,4,19,3960146,0,0,0
-16,22,8950.000000000002,E00004453,Camden,257044.36999999997,49,273,91502531,0,0,0
-72,33,6140,E00010965,Harrow,147994,14,99,14357180,0,0,0
-16,-21,7000,E00022569,Wandsworth,153677.82,22,218,41520297,0,0,0
-24,-30,6450.000000000002,E00017000,Merton,139584,22,163,19258400,0,0,0
-12,37,9060,E00010157,Haringey,101672,9,162,12466733,0,0,0
25,-41,6000.000000000001,E00003752,Bromley,114569.20999999999,9,56,6198963,0,1,0
58,-4,3970.000000000001,E00002149,Bexley,49177.39,11,115,6237188,0,0,0
-62,18,5670,E00006325,Ealing,171355,11,77,8802728,0,0,0
67,14,3940,E00011717,Havering,46410,3,51,2187632,0,0,0
33,28,4540,E00018058,Newham,128206,13,116,8510917,0,0,0
-43,-28,7180,E00014876,Kingston upon Thames,184356,11,70,12926402,0,0,0
-25,15,9090,E00023806,Westminster,215023,35,354,78593460,0,0,0
-1,-56,5180,E00005441,Croydon,204127,16,78,11987893,0,0,0
56,49,5160,E00011496,Havering,38951,1,24,939541,0,0,0
30,-50,6895,E00003188,Bromley,275266,0,6,1034919,0,0,0
-60,-27,8850,E00019557,Richmond upon Thames,167007,8,74,11114870,0,0,0
-9,-2,9654.999999999998,E00183149,Wandsworth,417801,35,331,57710439,0,0,0
-19,50,6380,E00001323,Barnet,119744,12,119,12142535,0,0,0
53,29,4250,E00000495,Barking and Dagenham,50809.06,12,156,8234806,0,0,0
20,-19,5120,E00016260,Lewisham,98663,9,155,12293692,0,0,1
-42,11,6370,E00166867,Ealing,64609,12,102,13579899,0,0,0
47,-22,5500,E00002260,Bexley,86057,6,80,5156667,0,0,0
-82,42,6850.000000000001,E00012312,Hillingdon,202027,7,47,13544184,0,0,1
-67,41,5915,E00010809,Harrow,91136,12,73,9243138,0,0,0
-96,-5,3780,E00012202,Hillingdon,97935,0,4,503030,1,1,0
-66,30,4765,E00011079,Harrow,89378.86999999997,19,133,12454925,0,0,0
-42,8,6860,E00005993,Ealing,123764,17,183,23361361,0,0,0
4,58,5320,E00006951,Enfield,54327.579999999994,10,140,7288623,0,0,0
73,17,4324.999999999999,E00011697,Havering,44710,2,24,1137296,0,0,0
-68,-14,4990,E00168853,Hounslow,125203,18,121,14562555,0,0,0
-63,50,6355,E00010743,Harrow,34177,1,7,822470,0,0,0
1,-8,7625,E00020381,Southwark,178493,38,239,32125897,1,0,1
5,-55,4265,E00005584,Croydon,128851,15,47,7265297,0,0,0
-16,-42,4745,E00021107,Sutton,103076.62,10,102,8719747,0,0,0
-57,-12,7030,E00013250,Hounslow,161682,14,111,16093956,0,0,0
76,47,3735,E00011390,Havering,31589,5,82,2634097,0,0,0
30,-25,4570,E00004013,Bromley,109604,7,85,7491822,0,0,0
-20,22,11949.999999999998,E00004120,Camden,469552.83,36,281,103314752,0,0,0
-38,8,6350,E00183207,Hammersmith and Fulham,195677,21,206,32227631,0,0,0
58,16,3590.000000000001,E00000434,Barking and Dagenham,50278,4,50,2575349,0,0,0
48,-8,4345.000000000001,E00002222,Bexley,73288.08000000002,14,111,6931952,0,0,0
29,37,6975,E00019063,Redbridge,57851,7,98,6712987,0,0,0
-22,47,6220,E00178860,Barnet,116139.61000000002,10,123,14141826,0,0,0
10,13,7270,E00021475,Tower Hamlets,163070.75,42,315,41206586,1,0,1
-31,-20,8910,E00017526,Merton,221186,6,83,15776215,0,0,0
-59,12,5500.000000000001,E00006429,Ealing,92298.23999999999,12,118,14683793,0,0,1
12,-16,6109.999999999999,E00016316,Lewisham,97576,19,165,14524926,0,0,0
31,36,5040,E00018534,Redbridge,60058,8,88,5890014,0,0,1
-80,12,4890.000000000001,E00012100,Hillingdon,146136.89,16,102,13935377,0,0,0
-65,7,4640,E00006065,Ealing,82223,6,89,9034169,0,0,0
6,37,4180,E00010376,Haringey,46415,10,144,5801446,0,0,0
56,22,4000.000000000001,E00000093,Barking and Dagenham,58751,16,140,7207513,1,0,2
-9,30,5659.999999999999,E00014018,Islington,128278.89000000001,32,297,30271702,0,0,0
62,13,4090,E00176932,Havering,57311,1,25,962364,0,1,0
-17,18,15000,E00004201,Camden,350544,30,225,77228300,0,1,0
45,12,3500.0000000000005,E00185748,Barking and Dagenham,32639,2,37,1643775,0,0,0
-52,47,6119.999999999999,E00010597,Harrow,149882.81999999998,8,88,9956439,0,0,0
20,50,5245,E00022205,Waltham Forest,74580,12,114,7547102,0,0,0
44,22,3880,E00000334,Barking and Dagenham,71915.5,10,154,8854797,0,0,0
77,45,3760.0000000000005,E00011475,Havering,40067,5,75,2609109,0,0,0
25,-28,5304.999999999999,E00004029,Bromley,96234.80000000002,13,106,10331313,0,0,0
29,50,6700.000000000001,E00018839,Redbridge,92026,6,46,7427687,0,0,0
4,56,5075.000000000001,E00007372,Enfield,55527,14,154,7849147,0,0,0
37,-61,5925.000000000001,E00003650,Bromley,110204,1,3,248495,0,0,0
-73,-16,4234.999999999999,E00012890,Hounslow,104639,13,76,8639256,0,0,0
-2,-39,3755.0000000000005,E00005552,Croydon,63442,21,209,18126378,0,0,0
23,-47,5740,E00003730,Bromley,129078,3,33,3736610,0,0,0
4,-42,3695.0000000000005,E00004891,Croydon,102972.36999999998,15,151,16297808,0,0,0
57,39,3510,E00011643,Havering,32517,4,67,3298631,0,0,0
21,-17,5059.999999999999,E00016279,Lewisham,91077.77,12,165,13815941,0,0,0
15,-35,6040,E00003790,Bromley,115875,17,85,9661405,0,0,0
29,44,5265.000000000001,E00018898,Redbridge,51365.799999999996,8,111,7302013,0,0,0
11,-44,5295,E00005290,Croydon,107587,10,53,6664026,0,0,0
-51,21,4610,E00003056,Brent,95662,17,137,12922539,0,0,1
-23,-38,5384.999999999999,E00017449,Merton,73832.56,13,114,9519096,0,0,0
-3,74,6105.000000000001,E00007029,Enfield,90725,0,3,235471,0,0,0
-55,8,6555,E00006128,Ealing,174963.45,27,190,27973303,2,0,2
-53,29,5500,E00002761,Brent,104110.65999999999,10,94,9853094,0,0,0
35,0,4150,E00008459,Greenwich,92995,14,151,9609966,0,0,1
15,-18,4820.000000000001,E00016154,Lewisham,66956,15,170,13596526,0,0,0
-11,34,9770,E00009959,Haringey,72488.73,13,210,17982636,0,0,0
24,-29,5210.000000000001,E00003232,Bromley,105333.74999999999,14,113,11580879,0,0,0
54,32,3840,E00000567,Barking and Dagenham,69221,11,121,7118302,0,0,0
-12,16,7960,E00004694,Camden,338974,18,221,58889862,0,0,0
73,-3,4300,E00002117,Bexley,42903,0,6,260558,0,1,0
13,-1,6350,E00016411,Lewisham,62066.270000000004,24,237,21700048,1,0,1
59,-32,3955.0000000000005,E00003520,Bromley,82510,0,0,0,0,0,0
-41,-23,5945,E00014863,Kingston upon Thames,196937,3,16,3728876,0,0,0
-4,-53,4230.000000000001,E00005848,Croydon,132981,16,88,12055194,0,0,0
16,25,5000.000000000001,E00183857,Hackney,38906,13,139,10622825,0,0,0
-66,-16,5990,E00019671,Richmond upon Thames,117361,19,118,14701096,0,0,1
38,-19,5050.000000000001,E00007940,Greenwich,70087,11,83,7590996,0,0,0
0,-18,9940,E00020503,Southwark,342256,14,100,18638669,0,0,0
54,-13,4070,E00001788,Bexley,75167,9,85,5703233,0,0,0
-18,11,12465.000000000002,E00023498,Westminster,419845.91,35,231,80465086,1,1,0
-89,35,6550,E00012155,Hillingdon,103603,1,8,1338520,0,0,0
51,8,3840,E00002293,Bexley,84322,7,71,4725415,0,0,1
55,28,4000,E00000303,Barking and Dagenham,41434.86,10,139,7134177,0,0,0
67,9,4045,E00011695,Havering,42840,0,15,737120,0,0,0
-39,-27,8014.999999999998,E00014881,Kingston upon Thames,344013,3,33,6935920,0,0,0
-21,64,6285.000000000002,E00000867,Barnet,107475,6,67,7250368,0,0,0
-10,-42,4500,E00020536,Sutton,88316,7,53,4567327,0,1,0
-4,71,5500.000000000001,E00007032,Enfield,72224,1,25,1649335,0,0,0
-85,10,5430,E00011992,Hillingdon,131265,10,74,10505846,0,0,1
-14,37,9080,E00010140,Haringey,103657,9,140,12121138,0,0,0
-13,-58,5310,E00020667,Sutton,211463,1,22,4119655,0,0,0
64,7,4575,E00011695,Havering,42840,0,1,52865,0,1,0
47,40,4000,E00018353,Redbridge,45212,1,21,1141498,0,0,0
27,49,6240,E00018840,Redbridge,86297,9,63,8546769,0,0,0
-36,54,7310.000000000001,E00001368,Barnet,231216,1,11,1557153,0,0,0
-87,-8,4910.000000000001,E00012179,Hillingdon,243502,0,4,666513,1,1,0
-35,-9,8425.000000000002,E00019404,Richmond upon Thames,222504,20,119,25210838,0,0,0
-59,41,4555.000000000001,E00011152,Harrow,105353.76000000001,14,129,12612083,0,0,0
-25,-9,9775.000000000002,E00009698,Hammersmith and Fulham,290714,37,264,59639158,0,0,0
-74,28,5520,E00012055,Hillingdon,149063.47,10,103,15661137,0,0,1
-78,16,4980.000000000001,E00006601,Ealing,88732,10,66,8518684,0,0,0
-47,-53,5790,E00014852,Kingston upon Thames,130926.64705882351,3,25,2981269,0,1,0
61,35,3964.999999999999,E00011230,Havering,76570,8,98,4951605,0,0,0
-16,-27,5365.000000000001,E00017193,Merton,126964.56000000001,18,233,33274366,0,0,0
-10,-45,4685,E00020539,Sutton,87661,8,76,7519951,0,0,0
-17,9,15000.000000000002,E00175206,Westminster,943210.3399999999,30,181,73865060,1,1,0
57,-2,3830.0000000000005,E00002155,Bexley,35407,11,116,6102591,0,0,0
-29,18,12690,E00002833,Brent,208261,31,273,43848867,1,1,0
-90,27,6240,E00012255,Hillingdon,249638,8,29,6341945,0,0,0
13,-54,4105,E00005315,Croydon,85674,7,54,5397101,0,0,0
-43,3,8650,E00006844,Ealing,137547.82,29,192,28026930,1,0,1
-59,24,5300.000000000001,E00006519,Ealing,112618.53999999996,12,89,10098328,0,0,0
4,53,3700.0000000000005,E00007288,Enfield,42873.670000000006,14,161,7386574,1,0,1
28,35,7124.999999999998,E00018968,Redbridge,91178,4,84,5812288,0,0,0
-63,-7,4165,E00013121,Hounslow,208138,27,131,17703723,0,0,0
68,29,5005,E00011594,Havering,55171,10,103,5213475,0,0,0
69,18,4340,E00011831,Havering,45568,5,69,2808836,0,1,0
-73,-14,4000,E00168199,Hounslow,129026,11,71,8847543,0,0,1
71,34,5215.000000000001,E00011327,Havering,60096,7,95,5690520,0,0,0
40,-69,5735,E00003651,Bromley,1636074,4,3,5523558,0,0,0
-54,-10,10510,E00019425,Richmond upon Thames,134415,11,89,13264214,0,0,0
-30,-52,5080,E00020721,Sutton,109323,8,53,8818781,0,0,0
-38,33,5515.000000000001,E00001503,Barnet,60813,14,104,8954856,0,0,0
68,30,5020,E00011585,Havering,51658,10,100,5151960,0,0,0
1,12,11210,E00166755,City of London,127181,15,242,34160939,1,1,0
-81,10,5000.000000000001,E00011991,Hillingdon,137394,14,98,13582676,0,0,0
0,-12,6040,E00020413,Southwark,242502,25,168,29824714,0,0,0
52,-38,4999.999999999999,E00003521,Bromley,68759,4,58,3906073,0,0,0
-34,1,6770.000000000001,E00009490,Hammersmith and Fulham,321337.33,55,256,59116654,3,0,3
-52,-53,4570,E00014855,Kingston upon Thames,121593,3,30,3979410,0,1,0
18,-47,5940,E00004101,Bromley,138794,12,64,6586053,0,0,0
6,45,4010.0000000000005,E00010217,Haringey,41352,11,133,4780252,1,1,0
54,28,4055,E00000500,Barking and Dagenham,47503.91,10,155,8021892,0,0,0
-2,-1,6390.000000000001,E00020120,Southwark,107988.61999999997,33,324,32456937,1,0,1
-45,-1,7645,E00012857,Hounslow,199706.59,23,134,22472439,0,0,0
60,-4,4015,E00002174,Bexley,46637.19,6,115,5883897,1,0,1
-57,8,5990,E00006038,Ealing,113649,24,178,24758350,0,0,0
82,33,6000.000000000001,E00011277,Havering,63505,3,45,2662694,0,0,0
30,41,4944.999999999999,E00018909,Redbridge,73380,6,104,6468905,0,0,0
58,-2,3500,E00002155,Bexley,35407,11,115,5895656,0,0,0
16,64,4000.0000000000005,E00007127,Enfield,59605,1,20,978938,0,0,0
-22,-45,5500,E00020877,Sutton,122244.51999999999,26,154,15676426,0,0,1
-20,-16,9659.999999999998,E00023294,Wandsworth,230499.41975308637,30,186,41115381,0,0,0
-64,-5,4735,E00013070,Hounslow,152820.24,23,102,13767603,0,0,0
6,65,4345.000000000001,E00007520,Enfield,61227,10,115,5136786,0,0,1
6,-51,4190.000000000001,E00005596,Croydon,175650,16,41,11086539,0,0,0
-20,-10,7090,E00171055,Wandsworth,328688,43,264,53543733,0,0,0
-6,-55,5135.000000000001,E00020585,Sutton,131938,11,69,10402662,0,0,0
-81,-13,4635,E00012727,Hounslow,109656,6,45,5148431,0,1,0
-98,-4,4530,E00012188,Hillingdon,197651,0,1,97935,0,0,0
20,8,7285,E00167146,Tower Hamlets,349714,26,175,21178079,0,0,0
-79,-24,5500,E00012928,Hounslow,109600.14285714286,3,40,4427307,0,0,0
-7,16,4865,E00013555,Islington,185181.21000000002,14,293,54005192,1,0,1
-15,-45,5440,E00021007,Sutton,131866,20,114,11537155,0,0,0
-70,-10,4420.000000000001,E00013223,Hounslow,150518.39000000004,20,122,14334607,0,0,0
63,8,5000,NaN,NaN,NaN,0,3,142156,0,1,0
-63,7,4590.000000000001,E00006065,Ealing,82223,7,95,10146789,0,0,0
24,-37,5999.999999999999,E00004064,Bromley,113824,11,82,9230658,0,0,0
-10,56,5660,E00007564,Enfield,84737,9,98,9197036,0,0,0
6,56,4780.000000000001,E00007350,Enfield,49876,14,162,7479129,0,0,0
-63,4,5000,E00006643,Ealing,93917,8,59,6612884,0,0,0
-16,40,9785,E00010002,Haringey,58979,13,128,12022096,0,0,0
30,-59,5890,E00003183,Bromley,121784,0,6,863203,0,0,0
-51,45,5645.000000000001,E00010617,Harrow,138356,8,105,11438478,0,0,0
-10,-22,5705,E00015745,Lambeth,192347.08,16,210,29208617,0,0,0
-11,-58,5784.999999999999,E00005443,Croydon,281261,2,32,6536840,0,0,0
23,4,7170,E00182360,Greenwich,16926,8,127,13275602,1,1,0
-38,56,7375.000000000001,E00001423,Barnet,95308,0,8,897497,0,0,0
-5,11,15000.000000000002,E00190440,City of London,4953,11,195,36642741,2,2,0
-21,17,14440,E00023449,Westminster,375932.58999999997,32,287,85161434,0,0,0
-46,-29,6750.000000000002,E00014860,Kingston upon Thames,217875,22,117,20535333,1,0,1
-66,44,5445.000000000001,E00010785,Harrow,130123,11,55,6856704,0,0,0
6,19,8285,E00009071,Hackney,92834.63,32,325,33465647,1,1,0
-87,25,6579.999999999998,E00012270,Hillingdon,244001,10,49,10227792,0,0,0
-78,12,4025.0000000000005,E00011942,Hillingdon,169318,14,104,14397023,0,0,0
27,13,4030.000000000001,E00017741,Newham,98065.33,22,215,15094647,0,0,0
13,-9,6165.000000000001,E00016229,Lewisham,130950,23,202,16378632,1,1,0
-1,51,5540,E00007422,Enfield,55980,11,129,7043317,0,0,0
8,-63,5155,E00005503,Croydon,152267,5,18,6023558,0,0,0
-41,35,5000,E00002511,Brent,91217,12,124,9849784,0,0,1
-59,-29,8595.000000000002,E00019553,Richmond upon Thames,186426,5,40,7747292,0,0,0
-26,-4,8515,E00009763,Hammersmith and Fulham,279896.01,45,361,85215893,2,0,2
-17,49,6015,E00000811,Barnet,103008,9,106,10109672,0,0,1
-1,-53,4214.999999999999,E00005178,Croydon,117616,13,83,12146124,0,0,0
12,-14,5920,E00016337,Lewisham,93195.74,18,161,14756354,0,0,0
73,16,4469.999999999999,E00011703,Havering,44880,1,27,1264534,0,0,0
-51,-14,10000,E00019195,Richmond upon Thames,183594.11688311686,11,95,15029264,1,1,0
-94,15,5414.999999999999,E00012549,Hillingdon,245905,14,63,8993253,0,0,0
-97,-6,4045,E00012188,Hillingdon,197651,0,3,410882,0,1,0
76,44,3565.0000000000005,E00011474,Havering,37393.93,5,89,3134259,0,0,0
72,48,4839.999999999999,E00011379,Havering,24977.69,5,84,2441342,0,0,0
66,24,3650.0000000000005,E00176931,Havering,43109.06,5,79,3525090,0,0,0
0,49,4160.000000000001,E00007270,Enfield,48397,14,142,6411037,0,1,0
-23,-56,5549.999999999999,E00020621,Sutton,144113.07,6,64,9699272,0,0,0
38,-2,3515,E00008471,Greenwich,84432.76,18,168,10804071,1,0,1
37,29,4185,E00019022,Redbridge,59949.35,13,157,8970220,1,0,2
-96,7,4160,E00176464,Hillingdon,100809,8,33,4257075,0,0,0
4,45,3860.0000000000005,E00010222,Haringey,30011,14,177,6527883,0,0,0
-24,-35,5500,E00017474,Merton,87600.83,12,111,10678695,0,0,0
52,-26,5250,E00001895,Bexley,72240,2,35,2100253,0,0,0
40,-28,6014.999999999999,E00003374,Bromley,150386,6,31,4066461,1,1,0
-84,-20,3520,E00012720,Hounslow,106328,6,36,4147160,0,0,0
67,20,4135.000000000001,E00011825,Havering,42915,6,72,2944123,0,0,0
-56,30,5995,E00002751,Brent,101790,8,89,9062270,0,0,0
18,-10,5940.000000000001,E00182589,Lewisham,65654,18,203,17280095,1,0,1
-54,47,5920,E00011141,Harrow,126867,9,78,9283986,0,0,1
7,-62,4875.000000000001,E00005499,Croydon,142816,6,21,6441343,0,0,0
46,-3,4055,E00008323,Greenwich,55229,11,126,8418013,0,0,0
38,-43,5535,E00003693,Bromley,120584,7,59,6591793,0,0,0
-27,27,8815,E00000672,Barnet,96312,27,161,43315697,0,0,0
-43,32,5410,E00002522,Brent,107302,9,89,8571698,0,0,0
-63,-22,7660,E00019624,Richmond upon Thames,125880,16,102,13992339,0,0,0
-59,-19,8130.000000000002,E00019535,Richmond upon Thames,151782,13,111,16083868,0,0,0
-2,37,4565,E00010258,Haringey,43131.929999999986,11,225,9259857,0,0,0
76,39,4550,E00011345,Havering,54377,4,62,3481502,0,0,0
0,-45,5120,E00180998,Croydon,202649,32,181,19957604,0,0,1
60,51,5500,E00011531,Havering,368630,1,18,1101128,0,0,0
-89,3,4105.000000000001,E00012603,Hillingdon,126692,10,70,7684383,0,0,0
45,-51,5500.000000000001,E00003307,Bromley,116202,6,41,4485197,0,0,0
49,-58,5500,E00003308,Bromley,103169,0,2,198913,0,0,0
-22,-4,10799.999999999998,E00175101,Kensington and Chelsea,112841.45999999995,41,321,69062639,0,0,0
-46,-46,5210,E00015116,Kingston upon Thames,153224,4,75,10496079,0,0,0
58,-8,4810.000000000001,E00001602,Bexley,62636,9,104,6139505,0,0,0
32,1,4000,E00008521,Greenwich,30229,11,93,5891907,0,0,0
-27,-37,5345,E00017457,Merton,114640,16,111,11182217,0,0,0
5,-30,5350.000000000001,E00003630,Bromley,69904,24,172,14932313,0,0,0
40,-22,5005,E00003346,Bromley,121512,10,90,7767074,0,2,1
0,-25,5190,E00015462,Lambeth,107285.67,21,156,18434345,0,0,1
-15,-40,5880.000000000001,E00021078,Sutton,121751,5,73,6088820,0,0,0
62,8,4990,NaN,NaN,NaN,0,5,213622,0,0,0
-23,-28,6759.999999999998,E00017004,Merton,139057.44,22,175,21047540,1,0,1
-15,-26,6970,E00022759,Wandsworth,256194,21,232,35479113,0,0,0
53,17,4000,E00000464,Barking and Dagenham,62053,6,70,3447149,0,0,0
-23,-33,4610.000000000001,E00017394,Merton,77780,18,129,13265064,0,0,0
11,31,6000,E00185724,Waltham Forest,63462,7,120,7070047,0,0,0
27,11,4035.000000000001,E00017774,Newham,107547,18,190,12962192,0,0,0
16,24,4940.000000000001,E00009202,Hackney,29180,14,131,11019415,0,0,0
-22,55,6955,E00001371,Barnet,160422.17000000004,11,89,10642964,0,0,0
13,2,7355.000000000001,E00020427,Southwark,136354.86315789475,19,238,33352238,0,0,0
-67,34,5485.000000000001,E00010806,Harrow,101783.11,18,116,12268937,0,0,0
45,-28,4369.999999999999,E00003353,Bromley,113644,3,44,3130868,0,0,0
-52,0,5750.000000000001,E00012750,Hounslow,153704.31999999998,21,133,15524530,0,0,0
-51,-52,4440,E00014856,Kingston upon Thames,193264,8,47,6114141,0,0,0
76,25,5325,E00011924,Havering,58868,3,59,3428644,1,1,0
-72,43,6450,E00010760,Harrow,136204,11,56,9079547,0,0,0
-77,-21,5405,E00012994,Hounslow,107656,12,84,8740924,1,0,1
-43,-10,8660,E00019116,Richmond upon Thames,174442.21999999997,13,100,17282392,1,0,1
1,-36,4139.999999999999,E00005540,Croydon,87389.71,22,196,17196419,0,0,0
37,36,4455.000000000001,E00018402,Redbridge,57621.37999999998,9,130,7352518,0,0,1
17,-32,6090,E00003759,Bromley,133667,16,102,11820715,0,0,0
4,-32,5000.000000000001,E00005700,Croydon,92249.76000000001,19,181,15943025,0,0,0
-3,-23,4940,E00015567,Lambeth,153329,19,170,20474812,0,0,0
42,12,3500,E00017627,Newham,57751,2,23,1082933,0,0,0
80,36,4100,E00011350,Havering,71795,2,25,1649794,0,0,0
-75,-22,5275,E00013000,Hounslow,111298,12,82,8776491,0,0,0
-58,-31,7000.000000000001,E00019567,Richmond upon Thames,117164,4,21,6522996,0,0,0
9,74,4015.0000000000005,E00007690,Enfield,303232,9,55,4373750,0,0,0
1,6,11389.999999999998,E00177681,Southwark,183381,19,223,35836518,2,2,0
-13,-14,8200,E00015257,Lambeth,283332,24,243,43037077,0,0,1
33,36,5044.999999999999,E00018539,Redbridge,71249,10,95,5736666,0,0,0
48,-10,3955.0000000000005,E00001904,Bexley,58434,14,106,6755739,0,0,0
27,39,6195,E00018923,Redbridge,57157,7,108,7114805,0,0,0
-11,33,9190,E00009969,Haringey,61484,17,224,21034445,0,0,0
-60,43,5290.000000000001,E00010738,Harrow,85371,15,110,11100681,0,0,0
9,-12,6434.999999999998,E00020248,Southwark,108977,23,169,20108197,0,0,0
-92,18,5225,E00184393,Hillingdon,162687.41000000003,17,75,11208713,0,0,0
-7,54,6390.000000000001,E00007769,Enfield,102292,12,105,8427419,0,0,0
-53,-56,5730,E00014856,Kingston upon Thames,193264,0,7,1080003,0,0,0
-68,24,5055.000000000001,E00011103,Harrow,101208,12,119,12472682,0,0,0
-57,-25,10330,E00019552,Richmond upon Thames,167377.27,12,97,15220771,3,3,0
31,-69,5199.999999999999,E00003177,Bromley,100232.51063829788,6,28,3015509,0,0,0
8,4,6805,E00020312,Southwark,94276,33,255,37462430,0,0,0
-14,-44,5500.000000000001,E00020547,Sutton,79045,18,100,9604315,0,1,0
4,43,3925.000000000001,E00010227,Haringey,53104,14,180,6598377,1,0,1
-70,44,6670.000000000002,E00010764,Harrow,163566,6,45,7076460,0,0,0
-36,18,6155,E00002581,Brent,122745.59000000001,16,177,15112578,0,0,0
-33,-9,9790,E00023218,Wandsworth,241659,24,137,32923639,1,0,1
1,-69,4875,E00005332,Croydon,221247,9,17,6367535,0,0,0
42,-36,4669.999999999999,E00003968,Bromley,119910,6,56,6255224,0,0,0
-56,-31,8000.000000000002,E00019567,Richmond upon Thames,117164,3,36,7786463,0,0,0
-41,42,5070.000000000001,E00000661,Barnet,49151,11,184,13178709,0,0,0
-60,5,5990.000000000001,E00006226,Ealing,136425.66,19,103,13280220,2,1,1
-98,46,5745,E00012167,Hillingdon,172862,1,7,1129327,0,0,0
-8,-70,5019.999999999999,E00005077,Croydon,127544,5,35,5073234,0,0,0
-9,-60,4465,E00005119,Croydon,170547,8,48,9199200,0,0,0
48,20,4000,E00000207,Barking and Dagenham,49481.18,9,126,6816534,0,0,0
46,-36,3964.999999999999,E00003563,Bromley,54768,10,86,7408468,0,0,0
7,39,5710,E00010434,Haringey,66544,9,138,5242216,0,0,0
53,-35,4020,E00003520,Bromley,82510,3,34,2042313,0,0,0
63,53,5205,E00011531,Havering,368630,0,2,910824,0,0,0
-55,-4,5640,E00013331,Hounslow,142290,21,92,11536673,0,0,0
-2,45,5365.000000000001,E00010524,Haringey,49742.98,9,163,7138723,0,0,0
58,-10,6000.000000000001,E00001616,Bexley,56491.01,7,85,5243222,1,1,1
62,29,4165,E00000195,Barking and Dagenham,76762,7,71,3884233,0,0,0
29,32,6965.000000000002,E00019043,Redbridge,94951,4,73,4835915,0,0,0
-51,-9,9345,E00019420,Richmond upon Thames,152889,7,81,12350953,0,0,0
-68,-25,6900,E00019250,Richmond upon Thames,155308,9,92,11604286,0,0,0
38,36,4910,E00018381,Redbridge,64649,10,128,7125620,0,0,0
29,13,3925.000000000001,E00018194,Newham,87410,18,215,15578658,0,0,0
47,-14,4750,E00001696,Bexley,58647,10,97,6392659,0,1,0
20,13,6840.000000000001,E00017700,Newham,49634,21,209,16454305,0,0,0
66,16,4015,E00011849,Havering,52701,6,63,2546321,0,0,0
-55,-11,9885.000000000002,E00184367,Richmond upon Thames,149679.338028169,12,104,15484270,0,0,0
15,15,7355,E00021500,Tower Hamlets,139670.56999999998,29,275,31056070,0,0,0
-63,-14,6470,E00019677,Richmond upon Thames,124446,18,124,15569867,1,0,1
-7,-32,4085,E00005409,Croydon,139414,9,169,18249618,0,0,0
12,-32,5755,E00003389,Bromley,94785,19,124,11868734,0,0,0
-16,11,15000.000000000002,E00023834,Westminster,432809.43999999994,28,206,74553297,2,2,0
30,-68,4655,E00003174,Bromley,104327,5,29,3136046,0,0,1
12,15,7379.999999999998,E00021307,Tower Hamlets,168383,36,300,37720761,0,0,0
8,-35,4625,E00005960,Croydon,65954,18,154,13984251,0,0,0
-42,29,4114.999999999999,E00003013,Brent,111669.18,7,97,9274104,0,0,0
-12,-34,4035,E00017377,Merton,107190.38000000003,8,107,10384519,0,0,0
-45,-2,9165,E00012833,Hounslow,198368.18,20,120,21035952,0,0,0
-95,35,5000,E00012165,Hillingdon,122492,0,8,1106431,0,0,0
-98,-8,4890.000000000001,E00012202,Hillingdon,97935,0,1,97935,0,0,0
-15,-16,7590,E00022493,Wandsworth,242481.08000000002,22,219,42869154,1,0,1
35,23,3670.0000000000005,E00018045,Newham,67115,12,212,14193847,0,0,0
-18,31,12630,E00004492,Camden,530373,3,58,12102185,0,0,0
-18,-4,10030,E00022952,Wandsworth,155749,30,266,56957613,0,0,0
-4,67,6024.999999999999,E00007328,Enfield,89233,5,73,4710412,0,0,0
-15,-51,4280.000000000001,E00021043,Sutton,211865,18,107,14158326,0,0,0
1,4,9630,E00020010,Southwark,160272.35,26,282,38062856,1,0,1
-8,67,6499.999999999998,E00007315,Enfield,86939,2,23,1796251,0,0,0
-81,12,5000.000000000001,E00012079,Hillingdon,125846,16,96,13507206,0,0,0
30,-11,4110,E00008059,Greenwich,75888,15,106,9016379,0,0,1
-2,-23,5680.000000000001,E00015440,Lambeth,119858,18,166,19916343,0,0,0
47,11,5320.000000000001,E00185748,Barking and Dagenham,32639,3,57,3425182,0,0,0
-69,44,6405.000000000001,E00010766,Harrow,259638,6,47,7224530,1,0,1
-4,-28,5219.999999999999,E00005782,Croydon,151909,9,132,15727913,0,0,0
56,-34,4000.0000000000005,E00003520,Bromley,82510,0,10,571430,0,0,0
70,20,4830,E00011290,Havering,45891,6,64,2765032,0,0,0
-81,-16,3964.999999999999,E00012716,Hounslow,149424,8,81,8457796,0,0,0
51,-28,4879.999999999999,E00003542,Bromley,56314,3,40,2307177,0,0,0
-13,48,5440,E00007621,Enfield,68190,13,111,9392996,0,0,0
7,-45,4060,E00005230,Croydon,130664,13,68,13538242,0,0,0
