"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_unlimitedlocation_0722_allocation.nlogo"
"try07192225"
"07/22/2025 23:38:15:156 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","constant_a","reach_distance","constant_b","constant_c","[step]","total-exits","initial-total-pubs","initial-red-pubs","tick-exit","tick-exit-red","exit-rate","exit-rate-red","remaining-total-pubs","remaining-red-pubs"
"1","1.001","5","0.2","40","9","531","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","9","551","2955","2468","0","0","0","0","2955","2468"
"2","1.001","5","0.2","40","9","540","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","9","554","2955","2470","0","0","0","0","2955","2470"
"5","1.001","5","0.2","40","9","549","2955","2470","0","0","0","0","2955","2470"
"4","1.001","5","0.2","40","9","548","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","9","547","2955","2468","0","0","0","0","2955","2468"
"7","1.001","5","0.2","40","10","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","10","540","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","10","551","2955","2468","0","0","0","0","2955","2468"
"1","1.001","5","0.2","40","10","531","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","10","549","2955","2470","0","0","0","0","2955","2470"
"6","1.001","5","0.2","40","10","547","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","10","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","11","531","2955","2467","0","0","0","0","2955","2467"
"2","1.001","5","0.2","40","11","540","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","11","554","2955","2470","0","0","0","0","2955","2470"
"5","1.001","5","0.2","40","11","549","2955","2470","0","0","0","0","2955","2470"
"6","1.001","5","0.2","40","11","547","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","11","551","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","11","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","12","531","2955","2467","0","0","0","0","2955","2467"
"2","1.001","5","0.2","40","12","540","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","12","554","2955","2470","0","0","0","0","2955","2470"
"5","1.001","5","0.2","40","12","549","2955","2470","0","0","0","0","2955","2470"
"6","1.001","5","0.2","40","12","547","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","12","551","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","12","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","13","531","2955","2467","0","0","0","0","2955","2467"
"2","1.001","5","0.2","40","13","540","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","13","554","2955","2470","0","0","0","0","2955","2470"
"5","1.001","5","0.2","40","13","550","2955","2470","1","1","0.338409475465313","0.4048582995951417","2954","2469"
"8","1.001","5","0.2","40","13","551","2955","2468","0","0","0","0","2955","2468"
"6","1.001","5","0.2","40","13","547","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","13","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","14","531","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","14","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","14","540","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","14","550","2955","2469","0","0","0","0","2955","2469"
"8","1.001","5","0.2","40","14","551","2955","2468","0","0","0","0","2955","2468"
"4","1.001","5","0.2","40","14","548","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","14","547","2955","2468","0","0","0","0","2955","2468"
"1","1.001","5","0.2","40","15","531","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","15","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","15","540","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","15","547","2955","2468","0","0","0","0","2955","2468"
"5","1.001","5","0.2","40","15","550","2955","2469","0","0","0","0","2955","2469"
"8","1.001","5","0.2","40","15","552","2955","2468","1","1","0.338409475465313","0.4051863857374392","2954","2467"
"4","1.001","5","0.2","40","15","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","16","531","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","16","554","2955","2470","0","0","0","0","2955","2470"
"6","1.001","5","0.2","40","16","547","2955","2468","0","0","0","0","2955","2468"
"2","1.001","5","0.2","40","16","540","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","16","550","2955","2469","0","0","0","0","2955","2469"
"8","1.001","5","0.2","40","16","552","2955","2467","0","0","0","0","2955","2467"
"4","1.001","5","0.2","40","16","548","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","17","554","2955","2470","0","0","0","0","2955","2470"
"1","1.001","5","0.2","40","17","531","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","17","552","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","17","547","2955","2468","0","0","0","0","2955","2468"
"5","1.001","5","0.2","40","17","550","2955","2469","0","0","0","0","2955","2469"
"2","1.001","5","0.2","40","17","540","2955","2467","0","0","0","0","2955","2467"
"4","1.001","5","0.2","40","17","548","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","18","554","2955","2470","0","0","0","0","2955","2470"
"1","1.001","5","0.2","40","18","531","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","18","547","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","18","553","2955","2467","1","0","0.338409475465313","0","2954","2467"
"5","1.001","5","0.2","40","18","550","2955","2469","0","0","0","0","2955","2469"
"2","1.001","5","0.2","40","18","540","2955","2467","0","0","0","0","2955","2467"
"4","1.001","5","0.2","40","18","548","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","19","554","2955","2470","0","0","0","0","2955","2470"
"1","1.001","5","0.2","40","19","531","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","19","550","2955","2469","0","0","0","0","2955","2469"
"6","1.001","5","0.2","40","19","547","2955","2468","0","0","0","0","2955","2468"
"2","1.001","5","0.2","40","19","540","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","19","553","2955","2467","0","0","0","0","2955","2467"
"4","1.001","5","0.2","40","19","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","20","531","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","20","554","2955","2470","0","0","0","0","2955","2470"
"5","1.001","5","0.2","40","20","550","2955","2469","0","0","0","0","2955","2469"
"6","1.001","5","0.2","40","20","547","2955","2468","0","0","0","0","2955","2468"
"2","1.001","5","0.2","40","20","540","2955","2467","0","0","0","0","2955","2467"
"8","1.001","5","0.2","40","20","553","2955","2467","0","0","0","0","2955","2467"
"4","1.001","5","0.2","40","20","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","21","531","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","21","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","21","540","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","21","547","2955","2468","0","0","0","0","2955","2468"
"8","1.001","5","0.2","40","21","553","2955","2467","0","0","0","0","2955","2467"
"5","1.001","5","0.2","40","21","550","2955","2469","0","0","0","0","2955","2469"
"4","1.001","5","0.2","40","21","548","2955","2467","0","0","0","0","2955","2467"
"1","1.001","5","0.2","40","22","531","2955","2467","0","0","0","0","2955","2467"
"7","1.001","5","0.2","40","22","554","2955","2470","0","0","0","0","2955","2470"
"2","1.001","5","0.2","40","22","540","2955","2467","0","0","0","0","2955","2467"
"6","1.001","5","0.2","40","22","547","2955","2468","0","0","0","0","2955","2468"
"5","1.001","5","0.2","40","22","550","2955","2469","0","0","0","0","2955","2469"
"8","1.001","5","0.2","40","22","553","2955","2467","0","0","0","0","2955","2467"
"4","1.001","5","0.2","40","22","548","2955","2467","0","0","0","0","2955","2467"
